contact_id,timestamp,location,contact_type,signal_strength,duration_minutes,witness_count,message_received,is_verified
XX_2024_001,2026-08-19T17:31:55.669549,"Mount Shasta, California",visual,5.9,659,6,,True
AC_2024_002,2026-08-03T06:29:55.669562,Antarctic Ice Shelf,visual,1.3,1052,5,,False
AC_2024_003,2026-08-13T01:37:55.669569,"Nazca Plateau, Peru",physical,10.0,1329,14,We come in peace,True
AC_2024_004,2026-07-30T02:58:55.669574,"Nazca Plateau, Peru",telepathic,9.9,869,11,Coordinates transmission incomplete,True
AC_2024_005,2026-08-17T02:04:55.669579,"Tunguska, Siberia",physical,9.5,1321,5,Signal repeats every 37 seconds,True
AC_2024_006,2026-08-15T08:22:55.669584,"Pine Gap, Australia",visual,9.0,153,9,We come in peace,True
AC_2024_007,2026-08-17T15:04:55.669588,"Rendlesham Forest, UK",telepathic,9.0,1142,12,Signal repeats every 37 seconds,False
AC_2024_008,2026-08-19T11:04:55.669594,Antarctic Ice Shelf,telepathic,0.6,1389,13,,True
AC_2024_009,2026-08-02T08:20:55.669599,Sahara Desert,physical,0.2,732,6,,True
AC_2024_010,2026-08-05T22:26:55.669604,Bermuda Triangle,telepathic,5.4,927,5,,False
AC_2024_011,2026-08-07T12:57:55.669609,Antarctic Ice Shelf,radio,7.2,514,5,Coordinates transmission incomplete,True
AC_2024_012,2026-08-14T18:11:55.669613,"Mount Shasta, California",telepathic,5.8,61,8,,False
AC_2024_013,2026-08-08T12:38:55.669618,"Mount Shasta, California",visual,3.9,735,13,,False
AC_2024_014,2026-08-15T20:42:55.669623,"Nazca Plateau, Peru",physical,4.7,502,1,,True
AC_2024_015,2026-08-17T15:32:55.669628,"Pine Gap, Australia",visual,8.4,1330,3,Greetings from Zeta Reticuli,False
